sample	HA	MP	NA	NP	NS	PA	PB1	PB2
BC13	2101.7013521457966	3779.244399185336	1792.0978723404255	4245.042752171009	5604.713603818615	1678.7986982798698	1911.5857519788917	1098.332894736842
BC21	1300.5955320399764	784.0254582484725	964.9120567375886	2746.694722778891	4906.8842482100235	1109.9400278940027	1812.882585751979	788.1219298245614
BC24	2109.265138154027	1912.7718940936863	2165.114184397163	3931.1583166332666	12468.059665871122	1368.9911668991167	1978.9503078276166	876.3438596491228
BC01	1802.8812463256909	2351.4348268839103	2070.995744680851	3983.307949231797	11853.73508353222	1300.4295676429567	1622.391380826737	827.0833333333334
BC06	2975.127572016461	5945.58350305499	4498.264539007092	6548.862391449566	13979.458233890215	2063.958158995816	2315.8746701846967	1543.7074561403508
BC05	1895.1052322163434	1303.6751527494907	1546.8843971631206	3866.9832999331998	5668.045346062053	1766.419339841934	2395.500879507476	951.5399122807017
BC02	1990.5978835978835	1416.038696537678	1783.8695035460994	4080.384101536406	8034.903341288783	1617.262668526267	2355.48109058927	1045.419298245614
BC17	1292.7860082304526	1129.3411405295315	1141.5709219858156	2871.3299933199733	3506.5799522673033	1145.3556485355648	1415.5501319261214	744.444298245614
BC08	2614.0035273368608	2185.368635437882	2006.3624113475178	3880.5110220440883	14079.322195704057	1246.2821943282195	1806.3522427440632	841.4013157894736
BC14	672.9088771310993	480.72301425661914	644.7255319148936	1565.6472945891783	3595.2625298329353	739.7847512784751	990.3157431838171	357.91184210526313
BC23	2082.7472075249852	2108.6914460285134	2307.69219858156	5095.97661990648	8867.414081145585	2125.794514179451	2858.286719437115	1464.2780701754386
BC04	2370.2298647854204	2140.7820773930753	1442.2560283687944	4326.872411489646	10055.241050119332	1692.5090655509066	2281.505716798593	1076.4723684210526
BC16	170.06290417401527	258.63645621181263	81.15035460992908	323.998663994656	126.06443914081146	243.16596931659694	376.86587510993843	158.91798245614035
BC03	611.6284538506761	562.6323828920571	703.1163120567376	1629.6506346025385	3049.7517899761338	652.9163179916318	538.1108179419525	333.84605263157897
BC22	2218.838330393886	1986.5967413441956	2276.222695035461	4355.635270541082	14025.692124105011	1389.1227336122734	1903.5580474934036	953.3548245614035
BC12	1224.9300411522634	1070.9042769857433	1250.6141843971632	2252.4615898463594	5779.301909307876	815.9567642956764	1100.8856640281442	553.0565789473684
BC10	1772.7260435038213	2844.6171079429737	1787.9659574468085	3670.325317301269	7155.5	1376.1975825197583	1694.7774846086193	885.459649122807
BC11	2405.6537330981773	2131.9134419551933	1628.486524822695	3733.633266533066	10611.70047732697	1229.1678289167828	1631.9177660510115	790.188596491228
BC20	159.49323927101705	428.60183299389	161.34468085106383	476.6947227788911	444.59546539379477	140.03347280334728	91.67678100263852	59.87543859649123
BC19	1442.7842445620224	964.7138492871691	1020.6553191489362	3350.6499665998663	2880.5704057279236	1527.6359832635983	1974.1952506596306	1055.455701754386
BC15	214.40740740740742	202.78716904276985	154.2851063829787	279.0567802271209	230.75536992840097	219.52347745234775	332.7963940193492	151.76447368421051
BC07	1888.3544973544974	1419.9949083503054	1804.245390070922	3251.187708750835	11357.610978520286	1193.9079497907949	1734.952946350044	695.5671052631579
BC18	2111.7231040564375	2507.546843177189	1737.5921985815603	4744.088844355378	4558.7875894988065	2157.855880985588	2480.697009674582	1389.2206140350877
BC09	638.5314520870077	655.2841140529531	353.43475177304964	1959.573146292585	501.118138424821	1090.0980939098094	1217.0452946350044	532.1135964912281
