barcode	sample	name	condition	dilution	B_replicate	total_reads	total_assembled	assembled(%)	non_virus_reads	percentage_non_virus	HA	MP	NA	NP	NS	PA	PB1	PB2
barcode01	Zhou_2P_E1_1	Zhou_2P_E1	Zhou_2P	E1	1	11067.0	10884.0	98.3	183.0	1.7	1474	6297	817	1138	607	218	84	249
barcode02	Zhou_2P_E2_1	Zhou_2P_E2	Zhou_2P	E2	1	11067.0	10918.0	98.7	149.0	1.3	1445	6541	839	994	643	192	78	186
barcode03	Zhou_2P_E3_1	Zhou_2P_E3	Zhou_2P	E3	1	11054.0	10621.0	96.1	433.0	3.9	1294	6520	721	938	793	144	56	155
barcode04	Zhou_2P_E4_1	Zhou_2P_E4	Zhou_2P	E4	1	11003.0	10751.0	97.7	252.0	2.3	1292	6974	545	814	744	236	54	92
barcode05	Zhou_2P_E5_1	Zhou_2P_E5	Zhou_2P	E5	1	11056.0	10758.0	97.3	298.0	2.7	1455	6387	988	1000	475	151	28	274
barcode06	Zhou_2P_E6_1	Zhou_2P_E6	Zhou_2P	E6	1	11067.0	10581.0	95.6	486.0	4.4	1203	7339	574	478	405	69	298	215
barcode07	Zhou_3P_E1_1	Zhou_3P_E1	Zhou_3P	E1	1	11059.0	10876.0	98.3	183.0	1.7	955	4460	1397	1636	1445	438	198	347
barcode08	Zhou_3P_E1_2	Zhou_3P_E1	Zhou_3P	E1	2	11067.0	10888.0	98.4	179.0	1.6	880	4458	1399	1561	1649	406	192	343
barcode09	Zhou_2P_E1_2	Zhou_2P_E1	Zhou_2P	E1	2	11045.0	10861.0	98.3	184.0	1.7	1507	6033	872	1228	597	267	99	258
barcode10	Zhou_2P_E2_2	Zhou_2P_E2	Zhou_2P	E2	2	11067.0	10891.0	98.4	176.0	1.6	1444	6074	888	1278	624	231	88	264
barcode11	Zhou_2P_E3_2	Zhou_2P_E3	Zhou_2P	E3	2	11067.0	10808.0	97.7	259.0	2.3	1297	6352	864	1105	652	242	77	219
barcode12	Zhou_2P_E4_2	Zhou_2P_E4	Zhou_2P	E4	2	11067.0	10687.0	96.6	380.0	3.4	1226	6528	762	1097	710	153	57	154
barcode13	Zhou_2P_E5_2	Zhou_2P_E5	Zhou_2P	E5	2	11067.0	10805.0	97.6	262.0	2.4	1344	6071	804	1167	563	410	238	208
barcode14	Zhou_2P_E6_2	Zhou_2P_E6	Zhou_2P	E6	2	11067.0	9545.0	86.2	1522.0	13.8	1249	5905	572	436	1171	130	25	57
barcode15	Zhou_3P_E2_1	Zhou_3P_E2	Zhou_3P	E2	1	11067.0	10900.0	98.5	167.0	1.5	888	4438	1434	1626	1640	376	170	328
barcode16	Zhou_3P_E2_2	Zhou_3P_E2	Zhou_3P	E2	2	11067.0	10875.0	98.3	192.0	1.7	857	4651	1375	1613	1488	394	165	332
barcode17	Zhou_2P_E1_3	Zhou_2P_E1	Zhou_2P	E1	3	11064.0	10882.0	98.4	182.0	1.6	1678	6355	676	1104	595	211	70	193
barcode18	Zhou_2P_E2_3	Zhou_2P_E2	Zhou_2P	E2	3	11067.0	10888.0	98.4	179.0	1.6	1527	6280	765	1075	715	217	80	229
barcode19	Zhou_2P_E3_3	Zhou_2P_E3	Zhou_2P	E3	3	11067.0	10854.0	98.1	213.0	1.9	1354	6294	840	1131	748	209	80	198
barcode20	Zhou_2P_E4_3	Zhou_2P_E4	Zhou_2P	E4	3	11060.0	10900.0	98.6	160.0	1.4	1430	6647	664	1024	770	138	64	163
barcode21	Zhou_2P_E5_3	Zhou_2P_E5	Zhou_2P	E5	3	11067.0	10795.0	97.5	272.0	2.5	1242	6425	689	1231	678	173	151	206
barcode22	Zhou_2P_E6_3	Zhou_2P_E6	Zhou_2P	E6	3	11067.0	10632.0	96.1	435.0	3.9	2294	5617	689	1005	646	133	88	160
barcode23	Zhou_3P_E3_1	Zhou_3P_E3	Zhou_3P	E3	1	11067.0	10898.0	98.5	169.0	1.5	873	4628	1370	1563	1689	349	172	254
barcode24	Zhou_3P_E3_2	Zhou_3P_E3	Zhou_3P	E3	2	11020.0	10839.0	98.4	181.0	1.6	925	4527	1469	1616	1523	342	150	287
barcode25	Rambo_3P_E1_1	Rambo_3P_E1	Rambo_3P	E1	1	11049.0	10808.0	97.8	241.0	2.2	1970	2725	1422	1513	1391	778	323	686
barcode26	Rambo_3P_E2_1	Rambo_3P_E2	Rambo_3P	E2	1	11067.0	10855.0	98.1	212.0	1.9	1890	2606	1534	1486	1478	830	378	653
barcode27	Rambo_3P_E3_1	Rambo_3P_E3	Rambo_3P	E3	1	11067.0	10867.0	98.2	200.0	1.8	1841	2837	1503	1505	1275	807	380	719
barcode28	Rambo_3P_E4_1	Rambo_3P_E4	Rambo_3P	E4	1	11067.0	10642.0	96.2	425.0	3.8	1650	2855	1467	1483	1071	927	461	728
barcode29	Rambo_3P_E5_1	Rambo_3P_E5	Rambo_3P	E5	1	11067.0	10084.0	91.1	983.0	8.9	1167	3038	1769	1480	793	908	273	656
barcode30	Rambo_3P_E6_1	Rambo_3P_E6	Rambo_3P	E6	1	11067.0	7579.0	68.5	3488.0	31.5	735	1303	1156	761	1408	816	528	872
barcode31	Zhou_3P_E4_1	Zhou_3P_E4	Zhou_3P	E4	1	11061.0	10804.0	97.7	257.0	2.3	773	4758	1306	1555	1693	413	111	195
barcode32	Zhou_3P_E4_2	Zhou_3P_E4	Zhou_3P	E4	2	11067.0	10797.0	97.6	270.0	2.4	760	4813	1335	1506	1723	321	95	244
barcode33	Rambo_3P_E1_2	Rambo_3P_E1	Rambo_3P	E1	2	11067.0	10777.0	97.4	290.0	2.6	1907	2718	1490	1523	1374	764	338	663
barcode34	Rambo_3P_E2_2	Rambo_3P_E2	Rambo_3P	E2	2	11067.0	10817.0	97.7	250.0	2.3	1890	2749	1468	1545	1296	839	368	662
barcode35	Rambo_3P_E3_2	Rambo_3P_E3	Rambo_3P	E3	2	11067.0	10837.0	97.9	230.0	2.1	1896	2659	1605	1532	1272	799	375	699
barcode36	Rambo_3P_E4_2	Rambo_3P_E4	Rambo_3P	E4	2	11067.0	10686.0	96.6	381.0	3.4	1439	2946	1671	1590	1038	836	454	712
barcode37	Rambo_3P_E5_2	Rambo_3P_E5	Rambo_3P	E5	2	11051.0	9744.0	88.2	1307.0	11.8	1430	2790	1443	1446	669	803	467	696
barcode38	Rambo_3P_E6_2	Rambo_3P_E6	Rambo_3P	E6	2	11067.0	6376.0	57.6	4691.0	42.4	649	1173	1555	1447	450	377	296	429
barcode39	Zhou_3P_E5_1	Zhou_3P_E5	Zhou_3P	E5	1	11046.0	10842.0	98.2	204.0	1.8	853	4595	1442	1380	1934	285	101	252
