condition	gene	average_depth	depth_log10	protocol	dilution
Zhou_2P_E1	HA	1376.7	3.1	Zhou_2P	E1
Zhou_2P_E1	MP	6118.4	3.8	Zhou_2P	E1
Zhou_2P_E1	NA	710.4	2.9	Zhou_2P	E1
Zhou_2P_E1	NP	1007.1	3.0	Zhou_2P	E1
Zhou_2P_E1	NS	572.6	2.8	Zhou_2P	E1
Zhou_2P_E1	PA	176.1	2.2	Zhou_2P	E1
Zhou_2P_E1	PB1	57.2	1.8	Zhou_2P	E1
Zhou_2P_E1	PB2	193.9	2.3	Zhou_2P	E1
Zhou_2P_E2	HA	1305.0	3.1	Zhou_2P	E2
Zhou_2P_E2	MP	6197.9	3.8	Zhou_2P	E2
Zhou_2P_E2	NA	744.0	2.9	Zhou_2P	E2
Zhou_2P_E2	NP	992.8	3.0	Zhou_2P	E2
Zhou_2P_E2	NS	631.1	2.8	Zhou_2P	E2
Zhou_2P_E2	PA	155.5	2.2	Zhou_2P	E2
Zhou_2P_E2	PB1	52.7	1.7	Zhou_2P	E2
Zhou_2P_E2	PB2	189.9	2.3	Zhou_2P	E2
Zhou_2P_E3	HA	1159.7	3.1	Zhou_2P	E3
Zhou_2P_E3	MP	6301.2	3.8	Zhou_2P	E3
Zhou_2P_E3	NA	734.1	2.9	Zhou_2P	E3
Zhou_2P_E3	NP	947.0	3.0	Zhou_2P	E3
Zhou_2P_E3	NS	699.9	2.8	Zhou_2P	E3
Zhou_2P_E3	PA	140.2	2.1	Zhou_2P	E3
Zhou_2P_E3	PB1	42.5	1.6	Zhou_2P	E3
Zhou_2P_E3	PB2	161.9	2.2	Zhou_2P	E3
Zhou_2P_E4	HA	1134.0	3.1	Zhou_2P	E4
Zhou_2P_E4	MP	6621.3	3.8	Zhou_2P	E4
Zhou_2P_E4	NA	576.0	2.8	Zhou_2P	E4
Zhou_2P_E4	NP	864.7	2.9	Zhou_2P	E4
Zhou_2P_E4	NS	711.0	2.9	Zhou_2P	E4
Zhou_2P_E4	PA	97.2	2.0	Zhou_2P	E4
Zhou_2P_E4	PB1	33.4	1.5	Zhou_2P	E4
Zhou_2P_E4	PB2	106.4	2.0	Zhou_2P	E4
Zhou_2P_E5	HA	1104.8	3.0	Zhou_2P	E5
Zhou_2P_E5	MP	6209.5	3.8	Zhou_2P	E5
Zhou_2P_E5	NA	698.0	2.8	Zhou_2P	E5
Zhou_2P_E5	NP	988.6	3.0	Zhou_2P	E5
Zhou_2P_E5	NS	546.7	2.7	Zhou_2P	E5
Zhou_2P_E5	PA	130.2	2.1	Zhou_2P	E5
Zhou_2P_E5	PB1	63.8	1.8	Zhou_2P	E5
Zhou_2P_E5	PB2	144.3	2.2	Zhou_2P	E5
Zhou_2P_E6	HA	1276.3	3.1	Zhou_2P	E6
Zhou_2P_E6	MP	6201.3	3.8	Zhou_2P	E6
Zhou_2P_E6	NA	491.5	2.7	Zhou_2P	E6
Zhou_2P_E6	NP	565.3	2.8	Zhou_2P	E6
Zhou_2P_E6	NS	710.0	2.9	Zhou_2P	E6
Zhou_2P_E6	PA	102.0	2.0	Zhou_2P	E6
Zhou_2P_E6	PB1	74.0	1.9	Zhou_2P	E6
Zhou_2P_E6	PB2	100.8	2.0	Zhou_2P	E6
Zhou_3P_E1	HA	816.9	2.9	Zhou_3P	E1
Zhou_3P_E1	MP	4294.8	3.6	Zhou_3P	E1
Zhou_3P_E1	NA	1372.6	3.1	Zhou_3P	E1
Zhou_3P_E1	NP	1567.4	3.2	Zhou_3P	E1
Zhou_3P_E1	NS	1430.0	3.2	Zhou_3P	E1
Zhou_3P_E1	PA	356.7	2.6	Zhou_3P	E1
Zhou_3P_E1	PB1	176.0	2.2	Zhou_3P	E1
Zhou_3P_E1	PB2	302.6	2.5	Zhou_3P	E1
Zhou_3P_E2	HA	787.6	2.9	Zhou_3P	E2
Zhou_3P_E2	MP	4461.0	3.6	Zhou_3P	E2
Zhou_3P_E2	NA	1316.6	3.1	Zhou_3P	E2
Zhou_3P_E2	NP	1564.2	3.2	Zhou_3P	E2
Zhou_3P_E2	NS	1457.2	3.2	Zhou_3P	E2
Zhou_3P_E2	PA	312.3	2.5	Zhou_3P	E2
Zhou_3P_E2	PB1	150.7	2.2	Zhou_3P	E2
Zhou_3P_E2	PB2	281.2	2.4	Zhou_3P	E2
Zhou_3P_E3	HA	766.7	2.9	Zhou_3P	E3
Zhou_3P_E3	MP	4583.6	3.7	Zhou_3P	E3
Zhou_3P_E3	NA	1330.3	3.1	Zhou_3P	E3
Zhou_3P_E3	NP	1560.9	3.2	Zhou_3P	E3
Zhou_3P_E3	NS	1492.7	3.2	Zhou_3P	E3
Zhou_3P_E3	PA	263.4	2.4	Zhou_3P	E3
Zhou_3P_E3	PB1	134.9	2.1	Zhou_3P	E3
