sample	total_reads	total_assembled	assembled
A/avian/02	3321	3319	99.9
A/avian/11	24125	23854	98.9
A/avian/12	35045	34926	99.7
A/avian/14	914	911	99.7
A/avian/17	23885	23646	99.0
A/avian/19	11245	10632	94.5
A/avian/20	13722	13533	98.6
A/avian/23	34611	34005	98.2
A/human/17	20248	19880	98.2
A/human/18	31289	31005	99.1
A/human/19	9751	8944	91.7
A/human/20	33205	32337	97.4
A/human/21	0	0	0.0
A/human/22	24429	23588	96.6
A/human/23	9857	8955	90.8
A/human/24	25561	24960	97.6
A/swine/05	10942	10747	98.2
A/swine/06	0	0	0.0
A/swine/09	9584	8977	93.7
A/swine/11	27569	27254	98.9
A/swine/12	88508	87956	99.4
A/swine/18	0	0	0.0
A/swine/23	23063	22435	97.3
A/swine/24	12093	11539	95.4
