sample	PB2	PB1	PA	HA	NP	NA	MP	NS	host
A/avian/02	27.9	99.8	28	56.5	0	100	100	100	avian
A/avian/11	100	100	100	100	100	100	100	100	avian
A/avian/12	100	100	100	100	100	100	100	100	avian
A/avian/14	26.6	31.4	37.8	42.6	34.4	0	100	100	avian
A/avian/17	100	100	100	100	100	100	100	100	avian
A/avian/19	100	100	100	100	100	100	100	100	avian
A/avian/20	100	100	100	100	100	100	100	100	avian
A/avian/23	100	100	100	100	100	100	100	100	avian
A/human/17	100	100	100	100	100	100	100	100	human
A/human/18	100	100	100	100	100	100	100	100	human
A/human/19	100	100	100	100	100	100	100	100	human
A/human/20	100	100	100	100	100	100	100	100	human
A/human/21	0	0	0	0	0	0	0	0	human
A/human/22	100	100	100	100	100	100	100	100	human
A/human/23	100	100	100	100	100	100	100	100	human
A/human/24	100	100	100	100	100	100	100	100	human
A/swine/05	99.8	59.6	100	100	100	100	100	100	swine
A/swine/06	0	0	0	0	0	0	0	0	swine
A/swine/09	100	100	100	100	100	100	100	100	swine
A/swine/11	100	100	100	100	100	100	100	100	swine
A/swine/12	100	100	100	100	100	100	100	100	swine
A/swine/18	0	0	0	0	0	0	0	0	swine
A/swine/23	100	100	100	100	100	100	100	100	swine
A/swine/24	100	100	100	100	100	100	100	100	swine
