sample	HA	MP	NA	NP	NS	PA	PB1	PB2	host
A/avian/02	235	871	175	1	498	686	334	520	avian
A/avian/11	830	5599	1975	2131	7115	2041	3044	1119	avian
A/avian/12	115	12239	3108	3186	14113	654	501	1010	avian
A/avian/14	143	75	1	21	193	94	191	194	avian
A/avian/17	739	7412	1562	1971	10355	852	188	567	avian
A/avian/19	266	3001	513	523	4145	582	1330	272	avian
A/avian/20	736	5017	529	746	5708	186	523	88	avian
A/avian/23	2761	9583	1629	3677	11945	2266	1202	942	avian
A/human/17	2257	6727	1909	2524	4878	543	602	440	human
A/human/18	3993	9620	3340	4581	6498	1238	713	1022	human
A/human/19	1611	3094	896	1219	988	375	325	436	human
A/human/20	4188	8950	2502	4681	6477	2390	1386	1763	human
A/human/21	0	0	0	0	0	0	0	0	human
A/human/22	2009	6695	2873	2963	2330	1786	4169	763	human
A/human/23	1484	2359	522	1379	1409	777	585	440	human
A/human/24	3130	5974	2162	3721	3878	1432	3554	1109	human
A/swine/05	5	4687	8	11	2950	2017	258	811	swine
A/swine/06	0	0	0	0	0	0	0	0	swine
A/swine/09	831	2218	222	751	2680	887	647	741	swine
A/swine/11	2368	7625	4560	1576	7070	2101	633	1321	swine
A/swine/12	2492	12280	6111	4038	21524	2825	2039	2231	swine
A/swine/18	0	0	0	0	0	0	0	0	swine
A/swine/23	2347	5695	2057	1811	8288	638	957	642	swine
A/swine/24	1166	4796	1423	1406	39	1200	727	782	swine
