sample	total_reads	total_assembled	assembled
A/avian/02	53617	53144	99.1
A/avian/11	104496	104033	99.6
A/avian/12	58746	58247	99.2
A/avian/14	35596	34884	98.0
A/avian/17	147524	146936	99.6
A/avian/19	88583	88025	99.4
A/avian/20	76280	75871	99.5
A/avian/23	107541	106885	99.4
A/human/17	65084	64522	99.1
A/human/18	59082	57932	98.1
A/human/19	34515	25657	74.3
A/human/20	92206	91697	99.4
A/human/21	27865	893	3.2
A/human/22	72926	69149	94.8
A/human/23	30979	26782	86.5
A/human/24	40057	39639	99.0
A/swine/05	69989	67973	97.1
A/swine/06	6728	1126	16.7
A/swine/09	20250	19577	96.7
A/swine/11	47772	47403	99.2
A/swine/12	54035	53656	99.3
A/swine/18	3213	1005	31.3
A/swine/23	72816	72368	99.4
A/swine/24	46435	46104	99.3
