barcode	protocol	dilution	B_replicate	total_reads	total_assembled	non_virus_reads	sample	HA	MP	NA	NP	NS	PA	PB1	PB2
barcode01	Zhou_2P	E1	1	8285	8219	66	barcode01	1133.0	4793	610	833	465	160	54.0	171
barcode02	Zhou_2P	E2	1	8297	8234	63	barcode02	1110.0	4904	619	781	492	130	54.0	144
barcode03	Zhou_2P	E3	1	8327	8117	210	barcode03	942.0	5053	541	734	592	113	31.0	111
barcode04	Zhou_2P	E4	1	8242	8155	87	barcode04	978.0	5317	395	640	547	163	42.0	73
barcode05	Zhou_2P	E5	1	8335	8152	183	barcode05	1156.0	4882	761	693	342	110	14.0	194
barcode06	Zhou_2P	E6	1	8293	7963	330	barcode06	877.0	5631	410	356	271	33	228.0	157
barcode07	Zhou_3P	E1	1	8323	8246	77	barcode07	692.0	3437	1067	1169	1155	316	139.0	271
barcode08	Zhou_3P	E1	2	8245	8195	50	barcode08	637.0	3451	1090	1128	1205	326	110.0	248
barcode09	Zhou_2P	E1	2	8236	8164	72	barcode09	1068.0	4661	642	895	450	200	72.0	176
barcode10	Zhou_2P	E2	2	8293	8231	62	barcode10	1079.0	4588	667	933	523	177	75.0	189
barcode11	Zhou_2P	E3	2	8295	8187	108	barcode11	1035.0	4784	640	851	510	166	57.0	144
barcode12	Zhou_2P	E4	2	8260	8119	141	barcode12	970.0	4924	635	793	522	103	54.0	118
barcode13	Zhou_2P	E5	2	8291	8142	149	barcode13	1050.0	4589	570	873	458	302	162.0	138
barcode14	Zhou_2P	E6	2	8300	7220	1080	barcode14	923.0	4527	428	325	897	71	11.0	38
barcode15	Zhou_3P	E2	1	8308	8243	65	barcode15	690.0	3515	1077	1137	1208	283	111.0	222
barcode16	Zhou_3P	E2	2	8280	8210	70	barcode16	619.0	3525	1073	1161	1187	286	145.0	214
barcode17	Zhou_2P	E1	3	8259	8193	66	barcode17	1221.0	4912	503	770	473	134	54.0	126
barcode18	Zhou_2P	E2	3	8252	8198	54	barcode18	1133.0	4879	555	790	511	116	70.0	144
barcode19	Zhou_2P	E3	3	8302	8195	107	barcode19	1052.0	4775	667	809	548	155	47.0	142
barcode20	Zhou_2P	E4	3	8255	8170	85	barcode20	1023.0	4984	495	787	616	91	49.0	125
