barcode	condition	dilution	B_replicate	total_reads	total_assembled	non_virus_reads
barcode01	Zhou_2P	E1	1	165602	163251	2351
barcode02	Zhou_2P	E2	1	183017	180785	2232
barcode03	Zhou_2P	E3	1	109634	106107	3527
barcode04	Zhou_2P	E4	1	142447	139608	2839
barcode05	Zhou_2P	E5	1	92814	90412	2402
barcode06	Zhou_2P	E6	1	32687	31323	1364
barcode07	Zhou_3P	E1	1	112541	110714	1827
barcode08	Zhou_3P	E1	2	150349	148208	2141
barcode09	Zhou_2P	E1	2	147602	145409	2193
barcode10	Zhou_2P	E2	2	189766	187030	2736
barcode11	Zhou_2P	E3	2	186360	182654	3706
barcode12	Zhou_2P	E4	2	160112	155597	4515
barcode13	Zhou_2P	E5	2	129056	126295	2761
barcode14	Zhou_2P	E6	2	35922	31211	4711
barcode15	Zhou_3P	E2	1	169014	166715	2299
barcode16	Zhou_3P	E2	2	128093	126148	1945
barcode17	Zhou_2P	E1	3	203975	201165	2810
barcode18	Zhou_2P	E2	3	160947	158854	2093
barcode19	Zhou_2P	E3	3	180665	177360	3305
barcode20	Zhou_2P	E4	3	159266	157034	2232
barcode21	Zhou_2P	E5	3	95018	93060	1958
barcode22	Zhou_2P	E6	3	27507	26453	1054
barcode23	Zhou_3P	E3	1	149341	147086	2255
barcode24	Zhou_3P	E3	2	140033	138007	2026
barcode25	Rambo_3P	E1	1	214527	209989	4538
barcode26	Rambo_3P	E2	1	170090	167067	3023
barcode27	Rambo_3P	E3	1	175516	172506	3010
barcode28	Rambo_3P	E4	1	111076	106756	4320
barcode29	Rambo_3P	E5	1	54329	49944	4385
barcode30	Rambo_3P	E6	1	35733	24931	10802
barcode31	Zhou_3P	E4	1	134250	131786	2464
barcode32	Zhou_3P	E4	2	186796	183221	3575
barcode33	Rambo_3P	E1	2	158840	155587	3253
barcode34	Rambo_3P	E2	2	129426	126860	2566
barcode35	Rambo_3P	E3	2	129284	126969	2315
barcode36	Rambo_3P	E4	2	118699	114853	3846
barcode37	Rambo_3P	E5	2	73972	65554	8418
barcode38	Rambo_3P	E6	2	50857	30034	20823
barcode39	Zhou_3P	E5	1	100690	98846	1844
barcode40	Zhou_3P	E5	2	99698	97030	2668
barcode41	Rambo_3P	E1	3	170370	167023	3347
barcode42	Rambo_3P	E2	3	127648	125446	2202
barcode43	Rambo_3P	E3	3	132482	130187	2295
barcode44	Rambo_3P	E4	3	103796	100596	3200
barcode45	Rambo_3P	E5	3	79849	69281	10568
barcode46	Rambo_3P	E6	3	31573	24119	7454
barcode47	Zhou_3P	E6	1	47704	47373	331
barcode48	Zhou_3P	E6	2	57511	56709	802
barcode55	Zhou_3P	E1	3	98315	96590	1725
barcode63	Zhou_3P	E2	3	161870	159653	2217
barcode71	Zhou_3P	E3	3	133828	132195	1633
barcode73	Licheri_5uM	E1	1	127216	125183	2033
barcode74	Licheri_5uM	E2	1	157461	155536	1925
barcode75	Licheri_5uM	E3	1	140885	139509	1376
barcode76	Licheri_5uM	E4	1	69093	68418	675
barcode77	Licheri_5uM	E5	1	30249	30061	188
barcode78	Licheri_5uM	E6	1	12804	12741	63
barcode79	Zhou_3P	E4	3	146182	142753	3429
barcode81	Licheri_5uM	E1	2	225770	222854	2916
barcode82	Licheri_5uM	E2	2	178151	175792	2359
barcode83	Licheri_5uM	E3	2	215686	213620	2066
barcode84	Licheri_5uM	E4	2	127813	126614	1199
barcode85	Licheri_5uM	E5	2	55266	54918	348
barcode86	Licheri_5uM	E6	2	21182	21054	128
barcode87	Zhou_3P	E5	3	56524	54666	1858
barcode89	Licheri_5uM	E1	3	185284	182566	2718
barcode90	Licheri_5uM	E2	3	181020	178651	2369
barcode91	Licheri_5uM	E3	3	139504	137877	1627
barcode92	Licheri_5uM	E4	3	74285	73638	647
barcode93	Licheri_5uM	E5	3	53728	53391	337
barcode94	Licheri_5uM	E6	3	10071	9993	78
barcode95	Zhou_3P	E6	3	64300	62885	1415
