sample	total_reads	total_assembled	assembled
BC09	1854	1850	99.8
BC20	1892	1883	99.5
BC04	1826	1821	99.7
BC19	1877	1874	99.8
BC05	1868	1866	99.9
BC06	1789	1786	99.8
BC07	1857	1853	99.8
BC15	1892	1868	98.7
BC01	1850	1846	99.8
BC16	1892	1761	93.1
BC02	1853	1849	99.8
BC17	1857	1855	99.9
BC03	1874	1868	99.7
BC18	1860	1860	100.0
BC11	1843	1837	99.7
BC12	1887	1884	99.8
BC13	1854	1850	99.8
BC14	1854	1851	99.8
BC21	1873	1873	100.0
BC22	1798	1798	100.0
BC23	1848	1844	99.8
BC24	1836	1830	99.7
BC10	1863	1857	99.7
BC08	1807	1806	99.9
